key_id,repeat,timing_cycles,valid_ct,message_hw,coeff0_hw,sk_byte0
12,38,294,0,136,8,245
12,39,588,0,136,8,245
12,40,858,0,136,8,245
12,41,562,0,136,8,245
12,42,528,0,136,8,245
12,43,742,0,136,8,245
12,44,656,0,136,8,245
12,45,448,0,136,8,245
12,46,608,0,136,8,245
12,47,523,0,136,8,245
12,48,414,0,136,8,245
12,49,483,0,136,8,245
13,0,384,0,131,6,115
13,1,514,0,131,6,115
13,2,523,0,131,6,115
13,3,565,0,131,6,115
13,4,577,0,131,6,115
13,5,586,0,131,6,115
13,6,557,0,131,6,115
13,7,436,0,131,6,115
13,8,588,0,131,6,115
13,9,449,0,131,6,115
13,10,350,0,131,6,115
13,11,550,0,131,6,115
13,12,407,0,131,6,115
13,13,508,0,131,6,115
13,14,541,0,131,6,115
13,15,430,0,131,6,115
13,16,555,0,131,6,115
13,17,583,0,131,6,115
13,18,588,0,131,6,115
13,19,578,0,131,6,115
13,20,589,0,131,6,115
13,21,563,0,131,6,115
13,22,374,0,131,6,115
13,23,440,0,131,6,115
13,24,580,0,131,6,115
13,25,1155,0,131,6,115
13,26,539,0,131,6,115
13,27,511,0,131,6,115
13,28,518,0,131,6,115
13,29,363,0,131,6,115
13,30,458,0,131,6,115
13,31,297,0,131,6,115
13,32,406,0,131,6,115
13,33,524,0,131,6,115
13,34,687,0,131,6,115
13,35,448,0,131,6,115
13,36,489,0,131,6,115
13,37,562,0,131,6,115
13,38,526,0,131,6,115
13,39,533,0,131,6,115
13,40,410,0,131,6,115
13,41,555,0,131,6,115
13,42,554,0,131,6,115
13,43,578,0,131,6,115
13,44,381,0,131,6,115
13,45,440,0,131,6,115
13,46,574,0,131,6,115
13,47,379,0,131,6,115
13,48,467,0,131,6,115
13,49,500,0,131,6,115
14,0,380,0,126,4,200
14,1,551,0,126,4,200
14,2,571,0,126,4,200
14,3,507,0,126,4,200
14,4,616,0,126,4,200
14,5,414,0,126,4,200
14,6,477,0,126,4,200
14,7,537,0,126,4,200
14,8,566,0,126,4,200
14,9,313,0,126,4,200
14,10,467,0,126,4,200
14,11,499,0,126,4,200
14,12,428,0,126,4,200
14,13,675,0,126,4,200
14,14,454,0,126,4,200
14,15,272,0,126,4,200
14,16,565,0,126,4,200
14,17,480,0,126,4,200
14,18,373,0,126,4,200
14,19,294,0,126,4,200
14,20,332,0,126,4,200
