sample_id,target_byte,repeat,timing_ns
421,95,1,30625
422,95,2,32458
423,95,3,31541
424,95,4,28625
425,95,5,24375
426,95,6,35125
427,95,7,28041
428,95,8,35166
429,95,9,35833
430,95,10,30250
431,95,11,104166
432,95,12,34333
433,95,13,31875
434,95,14,36083
435,95,15,28791
436,95,16,30166
437,95,17,29875
438,95,18,34833
439,95,19,34791
440,35,0,31125
441,35,1,22375
442,35,2,35416
443,35,3,26416
444,35,4,32541
445,35,5,34791
446,35,6,29583
447,35,7,32291
448,35,8,26333
449,35,9,31791
450,35,10,32833
451,35,11,25041
452,35,12,22583
453,35,13,33041
454,35,14,29541
455,35,15,32708
456,35,16,29625
457,35,17,31583
458,35,18,33291
459,35,19,29083
460,8,0,28000
461,8,1,34458
462,8,2,34875
463,8,3,34458
464,8,4,30208
465,8,5,28791
466,8,6,27041
467,8,7,33875
468,8,8,28291
469,8,9,29791
470,8,10,35750
471,8,11,33916
472,8,12,42541
473,8,13,34083
474,8,14,29458
475,8,15,25958
476,8,16,24125
477,8,17,32791
478,8,18,25458
479,8,19,25541
480,3,0,22500
481,3,1,29916
482,3,2,29083
483,3,3,26250
484,3,4,23208
485,3,5,31291
486,3,6,26708
487,3,7,22666
488,3,8,29208
489,3,9,27041
490,3,10,33791
491,3,11,33583
492,3,12,33583
493,3,13,29541
494,3,14,37166
495,3,15,34125
496,3,16,36041
497,3,17,34291
498,3,18,34583
499,3,19,33041
500,163,0,35000
501,163,1,36791
502,163,2,30250
503,163,3,35041
504,163,4,28250
505,163,5,31958
506,163,6,37458
507,163,7,59083
508,163,8,37708
509,163,9,35166
510,163,10,35583
511,163,11,32875
512,163,12,34625
513,163,13,25791
514,163,14,29083
515,163,15,32166
516,163,16,30333
517,163,17,30500
518,163,18,27500
519,163,19,27250
520,239,0,22875
521,239,1,30375
522,239,2,33625
523,239,3,27583
524,239,4,34916
525,239,5,33666
526,239,6,28041
527,239,7,35625
528,239,8,37125
529,239,9,34041
530,239,10,30000
531,239,11,29625
532,239,12,28291
533,239,13,34125
534,239,14,23291
535,239,15,24791
536,239,16,31250
537,239,17,28166
538,239,18,33333
539,239,19,23666
540,49,0,30750
541,49,1,30875
542,49,2,36250
543,49,3,35375
544,49,4,36333
545,49,5,33458
546,49,6,34166
547,49,7,35333
548,49,8,33625
549,49,9,29125
550,49,10,28125
551,49,11,32958
552,49,12,28166
553,49,13,32791
554,49,14,33208
555,49,15,29208
556,49,16,24708
557,49,17,34125
558,49,18,24083
559,49,19,29416
560,100,0,30083
561,100,1,30916
562,100,2,32416
563,100,3,25000
564,100,4,31666
565,100,5,34791
566,100,6,28250
567,100,7,32833
568,100,8,34458
569,100,9,34250
570,100,10,31500
571,100,11,31250
572,100,12,35166
573,100,13,31125
574,100,14,29625
575,100,15,29416
576,100,16,28125
577,100,17,24291
578,100,18,23208
579,100,19,30458
580,88,0,35791
581,88,1,36750
582,88,2,35875
583,88,3,36500
584,88,4,30333
585,88,5,34875
586,88,6,31708
587,88,7,29208
588,88,8,32583
589,88,9,33125
590,88,10,33500
591,88,11,35333
592,88,12,34125
593,88,13,36375
594,88,14,31416
595,88,15,36708
596,88,16,32291
597,88,17,33833
598,88,18,29500
599,88,19,23166
600,84,0,28083
601,84,1,32625
602,84,2,32416
603,84,3,27541
604,84,4,32583
605,84,5,26708
606,84,6,32458
607,84,7,30916
608,84,8,29458
609,84,9,30416
610,84,10,32291
611,84,11,24375
612,84,12,23916
613,84,13,24416
614,84,14,32666
615,84,15,31166
616,84,16,33375
617,84,17,33208
618,84,18,32708
619,84,19,29458
620,170,0,31666
621,170,1,26125
622,170,2,33833
623,170,3,32458
624,170,4,26416
625,170,5,32041
626,170,6,58833
627,170,7,521625
628,170,8,37500
629,170,9,37250
630,170,10,34583
631,170,11,39791
632,170,12,37708
633,170,13,98291
634,170,14,35500
635,170,15,34958
636,170,16,36125
637,170,17,36208
638,170,18,35041
639,170,19,34500
640,127,0,34916
641,127,1,35208
642,127,2,38416
643,127,3,35333
644,127,4,36000
645,127,5,33583
646,127,6,31625
647,127,7,53375
